"","Site","NetType","NetTypeRep","Rep","DebitL","PartType","Polymer","Count","PPML1","Salinity"
"176","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"177","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"178","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"179","CSorel","Manta","Manta-4","4",205200,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"180","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"181","CSorel","Manta","Manta-4","4",205200,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"182","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyether urethane",NA,NA,"CSorel"
"183","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"184","CSorel","Manta","Manta-4","4",205200,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"185","CSorel","Manta","Manta-4","4",205200,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"186","CSorel","Manta","Manta-4","4",205200,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"187","CSorel","Manta","Manta-4","4",205200,"Sphere","Silicone",NA,NA,"CSorel"
"188","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyethylene",NA,NA,"CSorel"
"189","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyester",NA,NA,"CSorel"
"190","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polypropylene",NA,NA,"CSorel"
"191","CSorel","Polym","Polymer-1","1",124762,"Sphere","Nylon",NA,NA,"CSorel"
"192","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polystyrene",1,16.0305221141053,"CSorel"
"193","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"194","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"195","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"196","CSorel","Polym","Polymer-1","1",124762,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"197","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"198","CSorel","Polym","Polymer-1","1",124762,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"199","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyether urethane",NA,NA,"CSorel"
"200","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"201","CSorel","Polym","Polymer-1","1",124762,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"202","CSorel","Polym","Polymer-1","1",124762,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"203","CSorel","Polym","Polymer-1","1",124762,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"204","CSorel","Polym","Polymer-1","1",124762,"Sphere","Silicone",NA,NA,"CSorel"
"205","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyethylene",NA,NA,"CSorel"
"206","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyester",NA,NA,"CSorel"
"207","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polypropylene",NA,NA,"CSorel"
"208","CSorel","Polym","Polymer-2","2",140917,"Sphere","Nylon",NA,NA,"CSorel"
"209","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polystyrene",3,42.5782552850259,"CSorel"
"210","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"211","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"212","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"213","CSorel","Polym","Polymer-2","2",140917,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"214","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"215","CSorel","Polym","Polymer-2","2",140917,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"216","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyether urethane",NA,NA,"CSorel"
"217","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"218","CSorel","Polym","Polymer-2","2",140917,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"219","CSorel","Polym","Polymer-2","2",140917,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"220","CSorel","Polym","Polymer-2","2",140917,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"221","CSorel","Polym","Polymer-2","2",140917,"Sphere","Silicone",NA,NA,"CSorel"
"222","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyethylene",NA,NA,"CSorel"
"223","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyester",NA,NA,"CSorel"
"224","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polypropylene",NA,NA,"CSorel"
"225","CSorel","Polym","Polymer-3","3",125590,"Sphere","Nylon",NA,NA,"CSorel"
"226","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polystyrene",1,15.9248347798392,"CSorel"
"227","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyethylene+Polypropylene",NA,NA,"CSorel"
"228","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyvinyl acetate",NA,NA,"CSorel"
"229","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyvinyl acrylate",NA,NA,"CSorel"
"230","CSorel","Polym","Polymer-3","3",125590,"Sphere","Poly(acrylate-styrene)",NA,NA,"CSorel"
"231","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyacrylonitrile",NA,NA,"CSorel"
"232","CSorel","Polym","Polymer-3","3",125590,"Sphere","Ethylene vinyl acetate",NA,NA,"CSorel"
"233","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyether urethane",NA,NA,"CSorel"
"234","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyvinyl Chloride",NA,NA,"CSorel"
"235","CSorel","Polym","Polymer-3","3",125590,"Sphere","Poly(chloroprene)",NA,NA,"CSorel"
"236","CSorel","Polym","Polymer-3","3",125590,"Sphere","Poly(methyl methacrylate)",NA,NA,"CSorel"
"237","CSorel","Polym","Polymer-3","3",125590,"Sphere","Polyethylacrylate",NA,NA,"CSorel"
"238","CSorel","Polym","Polymer-3","3",125590,"Sphere","Silicone",NA,NA,"CSorel"
"239","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyethylene",NA,NA,"CSorel"
"240","CSorel","Polym","Polymer-4","4",128722,"Sphere","Polyester",NA,NA,"CSorel"
